Country,date,noh
Afghanistan,10/19/2015,8.03673885632185
Albania,12/01/2017,3.29961078595413
Angola,01/01/2016,4.81565736350675
Argentina,07/01/2010,3.25859003619884
Armenia,02/05/2016,3.54208464567852
Aruba,07/01/2010,2.88944680362676
Australia,07/01/2016,2.54677670219101
Austria,07/01/2011,2.27153329694287
Azerbaijan,07/01/2009,4.54852867256945
Bahamas,07/01/2010,3.39563829580179
Bangladesh,08/22/2014,4.46971417265744
Belarus,07/01/2009,2.48246629851521
Belgium,07/01/2011,2.36291689333038
Benin,01/02/2018,5.18649416042462
Bermuda,07/01/2016,2.26230845629966
Bolivia,07/01/2012,3.5304590604877
Botswana,07/01/2011,3.52402301562812
Brazil,07/01/2010,3.31148982178934
Bulgaria,07/01/2011,2.33762487949056
Burkina Faso,10/01/2014,5.9244534660988
Burundi,12/22/2016,4.83019337510145
Cambodia,09/01/2014,4.61184313032466
Cameroon,05/02/2011,4.99234197870694
Canada,07/01/2016,2.44882526250561
Central African Republic,12/08/1994,4.90678370265536
Chad,01/16/2015,5.77717953423277
Chile,07/01/2002,3.57642542986666
China,07/01/2000,3.38440784117093
Hong Kong,07/01/2016,2.83461753317284
Macao,07/01/2016,3.06609687213535
Colombia,08/28/2015,3.52685205109591
Comoros,10/15/2012,5.37160110924601
Congo,11/26/2011,4.3074023816909
Costa Rica,07/01/2011,3.46142664480857
Cote d'Ivoire,03/02/2012,5.09006311104997
Croatia,07/01/2011,2.79539616520456
Cuba,07/01/2002,3.13669985331294
Cyprus,07/01/2011,2.74729241249358
Czechia,07/01/2011,2.39585936897951
Dem. Republic of the Congo,11/10/2013,5.3020675050332
Dominican Republic,09/02/2013,3.47793354224461
Ecuador,07/01/2010,3.77979891294363
Egypt,05/20/2014,4.13085758320921
El Salvador,07/01/2007,4.06997716976167
Estonia,07/01/2011,2.29751757241856
Ethiopia,04/07/2016,4.61457783976785
Fiji,07/01/2014,4.57243740637706
Finland,07/01/2010,2.07495909856428
France,07/01/2015,2.22205672177275
French Guiana,07/01/2015,3.45475745050298
Gabon,03/08/2012,4.09759781345222
Gambia,03/13/2013,8.22968138889476
Georgia,07/01/2014,3.33786841939178
Germany,07/01/2011,2.04610335634104
Ghana,10/22/2014,3.49288612007447
Greece,07/01/2011,2.44045620581628
Guadeloupe,07/01/2015,2.2965290141222
Guatemala,02/26/2015,4.80571376455854
Guinea,08/06/2012,6.25081903910384
Guyana,05/20/2009,3.79520268281347
Haiti,01/26/2017,4.29334977105548
Honduras,02/21/2012,4.46749153441871
Hungary,07/01/2011,2.60312415455511
India,12/28/2015,4.57218899216434
Indonesia,08/15/2017,3.85945273578042
Iran,07/01/2011,3.49296010521444
Iraq,07/01/1997,7.70302801425421
Ireland,07/01/2011,2.7664192088682
Isle of Man,07/01/2016,2.28392472667282
Israel,07/01/2008,3.14194539238823
Italy,07/01/2011,2.39913102168772
Jamaica,07/01/2011,3.06092285168149
Japan,07/01/2015,2.33062334276867
Jordan,12/01/2017,4.71876280946192
Kazakhstan,07/01/2009,3.49662788873433
Kenya,07/26/2015,3.63882380648678
Kyrgyzstan,10/15/2012,4.21447820303052
Lao People's Dem. Republic,07/01/2005,5.76530408354279
Latvia,07/01/2011,2.57805272695673
Lesotho,11/03/2014,3.34493465723311
Liberia,05/13/2013,4.94573145418242
Liechtenstein,07/01/2010,2.32024833473453
Lithuania,07/01/2011,2.32058319896644
Luxembourg,07/01/2011,2.41257028293851
Madagascar,04/30/2011,4.94926350622938
Malawi,12/17/2015,4.50891809012562
Malaysia,07/01/2000,4.55755678188844
Maldives,01/21/2017,5.39992241878289
Mali,09/27/2018,5.81114539185664
Malta,07/01/2011,2.85274524666119
Martinique,07/01/2015,2.24845954611123
Mauritius,07/01/2011,3.47529761733847
Mayotte,07/01/2012,4.10216586217368
Mexico,07/01/2015,3.74017497083236
Mongolia,07/01/2000,4.32143522139053
Montenegro,07/01/2011,3.21401150633056
Morocco,07/01/2004,5.2361663882699
Mozambique,08/29/2011,4.36636284544404
Myanmar,03/22/2016,4.22379426809677
Namibia,07/25/2013,4.2382239682248
Nepal,10/10/2016,4.23936444257142
Netherlands,07/01/2011,2.22639156224361
New Zealand,07/01/2013,2.67282310110229
Nicaragua,07/01/2005,4.91987664489436
Niger,04/24/2012,5.91684917249255
Nigeria,10/31/2015,4.90142866431412
Norway,07/01/2011,2.21543726122912
Oman,07/01/2003,8.01771089432877
Pakistan,01/08/2013,6.80447866248035
Panama,07/01/2010,3.67008259406546
Papua New Guinea,07/01/2000,5.43010129941242
Paraguay,07/01/2002,4.63244207422508
Peru,07/31/2012,3.75218227894024
Philippines,09/17/2017,4.22666134737057
Poland,07/01/2011,2.80621007003925
Portugal,07/01/2011,2.65575991909483
Puerto Rico,07/01/2010,2.67050237031479
Republic of Moldova,07/01/2014,2.88879842375214
Reunion,07/01/2015,2.64317813908999
Romania,07/01/2011,2.87931735565844
Russian Federation,07/01/2010,2.58489995059062
Rwanda,01/19/2015,4.25929245684135
Saint-Barthelemy,07/01/2015,2.42479408018303
Saint-Martin (French part),07/01/2015,2.56405506963395
Samoa,07/01/2016,6.75141966759003
Sao Tome and Principe,11/13/2008,3.83645112284655
Senegal,08/16/2017,8.66164024149629
Serbia,07/01/2011,2.87916488134907
Seychelles,07/01/2002,3.77862155147554
Sierra Leone,08/18/2013,5.89907498760491
Singapore,07/01/2010,3.29143482965652
Sint Maarten (Dutch part),07/01/2011,2.5798973082309
Slovenia,07/01/2015,2.46740138518368
South Africa,08/29/2016,3.36220315919585
South Sudan,07/01/2008,5.9479727880003
Spain,07/01/2011,2.69451775574286
State of Palestine,07/01/2007,5.47650663817378
Sudan,07/01/2008,5.59037592812814
Suriname,07/01/2004,3.94080817734868
Swaziland,07/01/2007,4.73718042366691
Switzerland,07/01/2000,2.21288246373377
Tajikistan,09/24/2017,5.99313917762588
Thailand,07/01/2000,3.69378409603518
Timor-Leste,11/03/2016,5.26791911327593
Togo,01/28/2014,4.55131040551872
Tokelau,07/01/2011,5.24390243902439
Trinidad and Tobago,07/01/2011,3.29086780304119
Turkey,02/21/2004,4.07131378673696
Uganda,09/17/2016,4.53433756282406
Ukraine,09/14/2007,2.45829841936276
United Kingdom,07/01/2011,2.26535984823965
Tanzania,11/17/2015,4.85154785176155
United States,07/01/2015,2.49113173309193
Uruguay,07/01/2011,2.78126035905578
Uzbekistan,08/19/1996,5.24207713780226
Venezuela,07/01/2001,4.33136162221914
Vietnam,07/01/2009,3.78309935825152
Yemen,10/25/2013,6.67268064092928
Zambia,12/10/2013,5.13078885536711
Zimbabwe,09/27/2015,4.07717933273453
